Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;BALSAM ST;41ST AV;39TH AV;207;NO DATA;"{""coordinates"": [[-123.1613373979499, 49.234663305851505], [-123.16133733466945, 49.23466496466475], [-123.16131987775582, 49.23513895076759], [-123.16129567440333, 49.23578887629806], [-123.1612678074629, 49.236524251857325], [-123.16126778851489, 49.23652476101499]], ""type"": ""LineString""}";49.23559404153579, -123.16130280993724
2020;16TH AV;INVERNESS ST;CLARK DRIVE;140;VERY POOR;"{""coordinates"": [[-123.07973469086306, 49.25627344937272], [-123.078351388783, 49.25625193289137], [-123.07781287736869, 49.25624390159464], [-123.07781126257674, 49.256243876596066]], ""type"": ""LineString""}";49.25625853905968, -123.07877297860782
2020;45TH AV;TODERICK ST;ARLINGTON ST;101;GOOD;"{""coordinates"": [[-123.02917563083753, 49.229251783737425], [-123.02917206658381, 49.22925178553709], [-123.02892211595037, 49.22925021844577], [-123.02891467700084, 49.229250171733575], [-123.02779539546397, 49.229243157611016], [-123.0277884523757, 49.22924315118568]], ""type"": ""LineString""}";49.22924746071642, -123.02848204164036
2020;ANGUS DR;58TH AV;57TH AV;97;VERY GOOD;"{""coordinates"": [[-123.14827797191776, 49.21858160008222], [-123.14827787544648, 49.218584238521274], [-123.14826195435272, 49.219008871171255], [-123.14824548667062, 49.219452862325625], [-123.14824544715405, 49.21945388334031]], ""type"": ""LineString""}";49.219017740149106, -123.14826166764139
2020;19TH AV;KNIGHT ST;EAST END;126;GOOD;"{""coordinates"": [[-123.07598320824376, 49.253500411942404], [-123.07598303784133, 49.253500409355894], [-123.07533364696644, 49.253489918912294], [-123.07425225186395, 49.253472656412846]], ""type"": ""LineString""}";49.25348649549445, -123.07511773067507
2020;COLUMBIA ST;WOODSTOCK AV;40TH AV;100;FAIR;"{""coordinates"": [[-123.11071251606519, 49.23387092007339], [-123.11067220440353, 49.234770059323424]], ""type"": ""LineString""}";49.234320489698405, -123.11069236023437
2020;BEATRICE ST;SOUTH END;22ND AV;247;GOOD;"{""coordinates"": [[-123.0670936466663, 49.24807956772352], [-123.0670854036769, 49.250301386426244]], ""type"": ""LineString""}";49.24919047707488, -123.06708952517161
2020;CONTINENTAL ST;NEON ST;DRAKE ST;73;GOOD;"{""coordinates"": [[-123.12903040077761, 49.27597412381198], [-123.12842206334595, 49.27637675147597], [-123.12830223877314, 49.276421945078134]], ""type"": ""LineString""}";49.276208874903205, -123.12867186273287
2020;51ST AV;ONTARIO ST;QUEBEC ST;157;VERY POOR;"{""coordinates"": [[-123.1060185283068, 49.223856718035265], [-123.10386340962619, 49.22381252833236]], ""type"": ""LineString""}";49.22383462318381, -123.1049409689665
2020;27TH AV;ASH ST;CAMBIE ST;218;VERY POOR;"{""coordinates"": [[-123.11850438489061, 49.24707892311249], [-123.11657245541974, 49.24704524141277], [-123.11551023339119, 49.24702405682565]], ""type"": ""LineString""}";49.24705234963196, -123.11700729307474
2020;71ST AV;MONTCALM ST;HUDSON ST;111;VERY GOOD;"{""coordinates"": [[-123.1361838172489, 49.20700822506317], [-123.13466027287161, 49.206986544377386]], ""type"": ""LineString""}";49.20699738472028, -123.13542204506027
2020;CAROLINA ST;18TH AV;17TH AV;101;GOOD;"{""coordinates"": [[-123.09190801050653, 49.25465311508155], [-123.0919078679372, 49.254657003828314], [-123.09189105349212, 49.255109561276626], [-123.09187520345468, 49.2555613749149]], ""type"": ""LineString""}";49.255107236542806, -123.09189137285158
2020;2ND AV;SEMLIN DRIVE;LAKEWOOD DRIVE;140;GOOD;"{""coordinates"": [[-123.0638334948151, 49.26864982258077], [-123.06190919163006, 49.26863510557692]], ""type"": ""LineString""}";49.268642464078845, -123.06287134322258
2020;44TH AV;JOYCE ST;LATTA ST;210;FAIR;"{""coordinates"": [[-123.03742734220711, 49.2302409431545], [-123.03679133305441, 49.2302388707645], [-123.0345429667927, 49.23023024047007]], ""type"": ""LineString""}";49.23023573559447, -123.03598515398967
2020;53RD AV;FLEMING ST;ARGYLE ST;100;VERY GOOD;"{""coordinates"": [[-123.07328657441911, 49.22175429510677], [-123.07259659503401, 49.22174864189346], [-123.0719133887982, 49.22174290028459]], ""type"": ""LineString""}";49.22174863384314, -123.07259998130866
