road_name,from_street,to_street,pci_rating,dist_to_water_m,humidity_proxy,pavement_risk,pci_missing,pavement_risk_adj,bearing_deg,sun_exposure,is_bridge,recent_moisture,temp_near_zero,black_ice_risk
KING EDWARD AV,ANGUS DRIVE,MARGUERITE ST,GOOD,1115.1,0.108,0.3,0,0.3,91.48489424617946,0.5,0,1,1.0,0.376
MACDONALD ST,31ST AV,30TH AV,NO DATA,2015.0,0.018,0.5,1,0.4,359.56477281884565,0.8,0,1,1.0,0.455
LABURNUM ST,60TH AV,57TH AV,VERY POOR,706.6,0.243,0.95,0,0.95,1.4216606309751114,0.8,0,1,1.0,0.586
LARCH ST,BROADWAY,8TH AV,POOR,1755.3,0.03,0.8,0,0.8,1.4778394654476301,0.8,0,1,1.0,0.527
GLEN DR,6TH AV / GREAT NORTHERN WAY,5TH AV,POOR,1136.1,0.103,0.8,0,0.8,0.23668251239956817,0.8,0,1,1.0,0.538
CORDOVA ST,BURRARD ST,HOWE ST,NO DATA,205.1,0.664,0.5,1,0.4,123.60072118527341,0.5,0,1,1.0,0.477
KIRKLAND ST,47TH AV,46TH AV,VERY GOOD,1632.1,0.038,0.1,0,0.1,0.2420529679816923,0.8,0,1,1.0,0.405
HIGHBURY ST,39TH AV,38TH AV,POOR,1114.2,0.108,0.8,0,0.8,0.4482814476033923,0.8,0,1,1.0,0.539
HIGHBURY ST,34TH AV,33RD AV,VERY POOR,1611.5,0.04,0.95,0,0.95,0.5373721801120723,0.8,0,1,1.0,0.555
INDUSTRIAL AV,MAIN ST,STATION ST,NO DATA,107.0,0.807,0.5,1,0.4,109.62562114561547,0.5,0,1,1.0,0.499
HAMILTON ST,DUNSMUIR ST,PENDER ST,VERY POOR,125.4,0.778,0.95,0,0.95,44.49800549105419,0.8,0,1,1.0,0.667
IVANHOE ST,KERR ST,MCKINNON ST,GOOD,819.2,0.194,0.3,0,0.3,121.02559484018667,0.5,0,1,1.0,0.389
KERR ST,54TH AV,53RD AV,FAIR,848.4,0.183,0.5,0,0.5,2.036806414483067,0.8,0,1,1.0,0.497
COURTENAY ST,13TH AV,12TH AV,VERY POOR,1013.0,0.132,0.95,0,0.95,1.4896817748375497,0.8,0,1,1.0,0.569
KENT AV S,BORDEN ST,ARGYLE ST,VERY POOR,58.3,0.89,0.95,0,0.95,107.93371648730033,0.5,0,1,1.0,0.608
LAKEWOOD DR,FERNDALE ST,HASTINGS ST,GOOD,1427.0,0.058,0.3,0,0.3,359.4467668153969,0.8,0,1,1.0,0.443
FREMLIN ST,45TH AV,44TH AV,VERY GOOD,890.8,0.168,0.1,0,0.1,1.3761262936831145,0.8,0,1,1.0,0.425
HUMM ST,BRIGADOON AV,UPLAND DRIVE,GOOD,1089.0,0.113,0.3,0,0.3,2.0401386496898226,0.8,0,1,1.0,0.452
LAUREL ST,17TH AV,16TH AV,VERY POOR,331.4,0.515,0.95,0,0.95,1.545857414074817,0.8,0,1,1.0,0.627
LARCH ST,2ND AV,1ST AV,VERY GOOD,1395.1,0.061,0.1,0,0.1,1.5274779071456237,0.8,0,1,1.0,0.408
MAIN ST,14TH AV,13TH AV,VERY POOR,1168.8,0.097,0.95,0,0.95,1.6805068775495897,0.8,0,1,1.0,0.564
KERR ST,56TH AV,55TH AV,VERY GOOD,648.9,0.273,0.1,0,0.1,1.7739281331914754,0.8,0,1,1.0,0.44
MARGUERITE ST,LAURIER AV,MATTHEWS AV,POOR,1234.0,0.085,0.8,0,0.8,22.555587359943274,0.8,0,1,1.0,0.536
GLEN DR,13TH AV,12TH AV,GOOD,1329.6,0.07,0.3,0,0.3,0.8221942990949742,0.8,0,1,1.0,0.445
MACDONALD ST,2ND AV,POINT GREY ROAD,VERY GOOD,1774.9,0.029,0.1,0,0.1,1.4108430723500192,0.8,0,1,1.0,0.404
DUNBAR ST,23RD AV,22ND AV,GOOD,2017.3,0.018,0.3,0,0.3,0.5132634215169674,0.8,0,1,1.0,0.437
FRASER ST,7TH AV,6TH AV,VERY GOOD,1064.2,0.119,0.1,0,0.1,0.6544497439369934,0.8,0,1,1.0,0.417
GUELPH ST,KINGSWAY,12TH AV,VERY GOOD,1224.9,0.086,0.1,0,0.1,0.6858216517029518,0.8,0,1,1.0,0.412
MARPOLE AV,ANGUS DRIVE WB,PINE CRESCENT,POOR,1192.0,0.092,0.8,0,0.8,33.398296413817434,0.8,0,1,1.0,0.537
MAIN ST,KENT AV NORTH,69TH AV,VERY POOR,250.1,0.606,0.95,0,0.95,2.3714875373381687,0.8,0,1,1.0,0.641
DUNDAS ST,PENTICTON ST,SLOCAN ST,VERY POOR,638.6,0.279,0.95,0,0.95,90.13352006314693,0.5,0,1,1.0,0.516
FERNDALE ST,GARDEN DRIVE,NANAIMO ST,POOR,1072.4,0.117,0.8,0,0.8,90.51012352528653,0.5,0,1,1.0,0.465
FRASER ST,29TH AV,28TH AV,VERY GOOD,1266.0,0.079,0.1,0,0.1,1.3290735130403846,0.8,0,1,1.0,0.411
GLADSTONE ST,44TH AV,43RD AV,VERY GOOD,1085.5,0.114,0.1,0,0.1,1.0119600307330074,0.8,0,1,1.0,0.416
MAPLE ST,28TH AV,NANTON AV,GOOD,1300.2,0.074,0.3,0,0.3,1.5268303396450165,0.8,0,1,1.0,0.446
GRANVILLE ST,PENDER ST,HASTINGS ST,NO DATA,516.5,0.356,0.5,1,0.4,44.786957502491134,0.8,0,1,1.0,0.506
LAUREL ST,52ND AV,49TH AV,FAIR,1016.0,0.131,0.5,0,0.5,1.3355356160429892,0.8,0,1,1.0,0.49
KERR ST,IVANHOE ST,KINGSWAY,GOOD,819.3,0.194,0.3,0,0.3,29.835454177237636,0.8,0,1,1.0,0.464
KINROSS ST,UNNAMED ST,KENT AV SOUTH,VERY GOOD,93.4,0.83,0.1,0,0.1,0.8910990980334077,0.8,0,1,1.0,0.524
GORE AV,HASTINGS ST,CORDOVA ST,GOOD,424.6,0.428,0.3,0,0.3,354.8483273504313,0.8,0,1,1.0,0.499
CROWN ST,28TH AV,27TH AV,POOR,2351.7,0.009,0.8,0,0.8,359.7557254912823,0.8,0,1,1.0,0.524
JOYCE ST,WELLINGTON AV,MONMOUTH AV,GOOD,365.3,0.482,0.3,0,0.3,32.30413420856081,0.8,0,1,1.0,0.507
MAPLE ST,57TH AV,54TH AV,VERY POOR,655.3,0.27,0.95,0,0.95,1.4120043742338453,0.8,0,1,1.0,0.59
