road_name,from_street,to_street,pci_rating,dist_to_water_m,humidity_proxy,pavement_risk,pci_missing,pavement_risk_adj,bearing_deg,sun_exposure,is_bridge,recent_moisture,temp_near_zero,black_ice_risk
59TH AV,ASH ST,CAMBIE ST,GOOD,465.0,0.395,0.3,0,0.3,91.04130608845486,0.5,0,1,1.0,0.419
37TH AV,COLLINGWOOD ST,BLENHEIM ST,FAIR,1180.6,0.094,0.5,0,0.5,90.46701357425826,0.5,0,1,1.0,0.409
CARTIER ST,26TH AV,KING EDWARD AV,VERY POOR,795.3,0.204,0.95,0,0.95,1.522621400785738,0.8,0,1,1.0,0.58
12TH AV,PRINCE ALBERT ST,ST. CATHERINES ST,POOR,1550.5,0.045,0.8,0,0.8,90.7966812120323,0.5,0,1,1.0,0.455
14TH AV,CAMOSUN ST,CROWN ST,NO DATA,1141.7,0.102,0.5,1,0.4,91.44937676302447,0.5,0,1,1.0,0.393
BORDEN ST,62ND AV,61ST AV,POOR,554.1,0.33,0.8,0,0.8,0.6528846816704004,0.8,0,1,1.0,0.573
ADANAC ST,MCLEAN DRIVE,WOODLAND DRIVE,VERY GOOD,1002.6,0.135,0.1,0,0.1,91.05981547736047,0.5,0,1,1.0,0.345
2ND AV,HIGHBURY ST,ALMA ST,NO DATA,406.6,0.443,0.5,1,0.4,91.59319017202142,0.5,0,1,1.0,0.444
63RD AV,POPLAR ST,FRASER ST,POOR,723.4,0.235,0.8,0,0.8,95.58188628970743,0.5,0,1,1.0,0.483
CLARENDON ST_1,GALT ST / GOTHARD ST,ST. LAWRENCE ST,FAIR,498.4,0.369,0.5,0,0.5,0.13555769492757008,0.8,0,1,1.0,0.525
BALSAM ST,20TH AV,19TH AV,GOOD,2252.3,0.011,0.3,0,0.3,1.5111427371030004,0.8,0,1,1.0,0.436
5TH AV,VINE ST,YEW ST,VERY GOOD,1170.8,0.096,0.1,0,0.1,91.50823991838848,0.5,0,1,1.0,0.339
CARTIER ST,39TH AV,38TH AV,NO DATA,131.3,0.769,0.5,1,0.4,1.3979726826144656,0.8,0,1,1.0,0.568
16TH AV,GLEN DRIVE,INVERNESS ST,VERY POOR,1183.5,0.094,0.95,0,0.95,91.2908546634606,0.5,0,1,1.0,0.488
BRANT ST,25TH AV,VANNESS AV,POOR,665.7,0.264,0.8,0,0.8,7.875224888422508,0.8,0,1,1.0,0.563
45TH AV,FREMLIN ST,LAUREL ST,GOOD,990.9,0.138,0.3,0,0.3,92.14158295779475,0.5,0,1,1.0,0.38
42ND AV,ONTARIO ST,QUEBEC ST,VERY GOOD,684.5,0.254,0.1,0,0.1,91.76596109635204,0.5,0,1,1.0,0.363
5TH AV,ARBUTUS ST,MAPLE ST,GOOD,852.2,0.182,0.3,0,0.3,91.52384848435668,0.5,0,1,1.0,0.387
COMMERCIAL DR,10TH AV,BROADWAY,VERY POOR,662.3,0.266,0.95,0,0.95,0.7789752152533538,0.8,0,1,1.0,0.589
29TH AV,DUNBAR ST,COLLINGWOOD ST,POOR,2029.9,0.017,0.8,0,0.8,90.49731463609766,0.5,0,1,1.0,0.45
50TH AV,TISDALL ST,ASH ST,POOR,589.6,0.308,0.8,0,0.8,93.33788376584312,0.5,0,1,1.0,0.494
47TH AV,MONTGOMERY ST,OAK ST,GOOD,1133.9,0.104,0.3,0,0.3,93.15972513577998,0.5,0,1,1.0,0.375
CASSIAR ST,2ND AV,1ST AV,POOR,122.5,0.783,0.8,0,0.8,0.7219471512560744,0.8,0,1,1.0,0.641
16TH AV,YUKON ST,ALBERTA ST,FAIR,736.6,0.229,0.5,0,0.5,92.2938225031877,0.5,0,1,1.0,0.429
CANADA PL,THURLOW ST,BURRARD ST,NO DATA,56.3,0.893,0.5,1,0.4,111.44009982534578,0.5,0,1,1.0,0.512
19TH AV,MACKENZIE ST,MACDONALD ST,VERY POOR,2342.9,0.009,0.95,0,0.95,90.51899888650115,0.5,0,1,1.0,0.476
BELMONT AV,NW MARINE DRIVE,DISCOVERY ST,GOOD,391.8,0.457,0.3,0,0.3,91.34391167829779,0.5,0,1,1.0,0.428
24TH AV,MACDONALD ST,TRAFALGAR ST,GOOD,2386.4,0.008,0.3,0,0.3,90.52590862231546,0.5,0,1,1.0,0.361
27TH AV,FRASER ST,PRINCE ALBERT ST,VERY POOR,1387.4,0.062,0.95,0,0.95,90.72333790963825,0.5,0,1,1.0,0.484
14TH AV,GLEN DRIVE,CLARK DRIVE / KNIGHT ST,GOOD,998.0,0.136,0.3,0,0.3,90.76220061215281,0.5,0,1,1.0,0.38
62ND AV,MONTCALM ST,HUDSON ST,VERY POOR,1375.0,0.064,0.95,0,0.95,91.4178669704392,0.5,0,1,1.0,0.484
ANDERSON ST,3RD AV,2ND AV / LAMEYS MILL ROAD,GOOD,80.8,0.851,0.3,0,0.3,44.303120179488474,0.8,1,1,1.0,0.863
BROCK ST,WENONAH ST,NANAIMO ST,GOOD,830.9,0.19,0.3,0,0.3,90.1517908144217,0.5,0,1,1.0,0.388
16TH AV,ALBERTA ST,COLUMBIA ST,POOR,867.8,0.176,0.8,0,0.8,92.32880197764081,0.5,0,1,1.0,0.474
45TH AV,EAST BOULEVARD,MAPLE ST,VERY GOOD,1096.3,0.112,0.1,0,0.1,91.43409292188073,0.5,0,1,1.0,0.341
58TH AV,WEST END,ANGUS DRIVE,GOOD,906.2,0.163,0.3,0,0.3,91.21463926719673,0.5,0,1,1.0,0.384
26TH AV,RUPERT ST,CASSIAR ST,GOOD,329.1,0.518,0.3,0,0.3,91.11074725205327,0.5,0,1,1.0,0.438
10TH AV,PRINCE ALBERT ST,ST. CATHERINES ST,GOOD,1414.0,0.059,0.3,0,0.3,90.77440794927429,0.5,0,1,1.0,0.368
2ND AV,COTTON DRIVE,COMMERCIAL DRIVE,GOOD,1294.4,0.075,0.3,0,0.3,90.70321050578474,0.5,0,1,1.0,0.371
ASH ST,19TH AV,18TH AV,GOOD,594.9,0.304,0.3,0,0.3,1.61234265313675,0.8,0,1,1.0,0.48
BUTE ST,HARWOOD ST,BURNABY ST,VERY GOOD,314.7,0.533,0.1,0,0.1,44.768148471139114,0.8,0,1,1.0,0.48
15TH AV,KNIGHT ST,WOODLAND DRIVE,POOR,786.2,0.208,0.8,0,0.8,93.64296205466394,0.5,0,1,1.0,0.479
BEGG ST,PAVEMENT CHANGE,EVANS AV,FAIR,404.6,0.445,0.5,0,0.5,14.705609314319986,0.8,0,1,1.0,0.537
49TH AV,KILLARNEY ST,RUPERT ST,VERY POOR,1218.7,0.087,0.95,0,0.95,89.87645550433581,0.5,0,1,1.0,0.487
CAMOSUN ST,18TH AV,16TH AV,FAIR,1366.9,0.065,0.5,0,0.5,0.4529033830221465,0.8,0,1,1.0,0.48
19TH AV,CARNARVON ST,MACKENZIE ST,VERY POOR,2202.6,0.012,0.95,0,0.95,90.51943245873002,0.5,0,1,1.0,0.476
15TH AV,SPRUCE ST,OAK ST,FAIR,394.9,0.454,0.5,0,0.5,91.50621659584618,0.5,0,1,1.0,0.463
CHURCHILL ST,45TH AV,43RD AV,NO DATA,711.9,0.241,0.5,1,0.4,1.3822130443617766,0.8,0,1,1.0,0.488
16TH AV,MACKENZIE ST,MACDONALD ST,GOOD,2166.8,0.013,0.3,0,0.3,91.48538276031627,0.5,0,1,1.0,0.362
58TH AV,PRINCE EDWARD ST,FRASER ST,POOR,861.1,0.179,0.8,0,0.8,91.60692364387506,0.5,0,1,1.0,0.475
26TH AV,COLUMBIA ST,MANITOBA ST,POOR,420.4,0.431,0.8,0,0.8,91.72468133762146,0.5,0,1,1.0,0.513
CAROLINA ST,21ST AV,20TH AV,VERY POOR,1691.1,0.034,0.95,0,0.95,1.460107858284175,0.8,0,1,1.0,0.554
BALACLAVA ST,4TH AV,3RD AV,FAIR,1410.6,0.06,0.5,0,0.5,1.4973173738309242,0.8,0,1,1.0,0.479
BUTE ST,ROBSON ST,GEORGIA ST,FAIR,214.7,0.651,0.5,0,0.5,44.76503994112727,0.8,0,1,1.0,0.568
18TH AV,CROWN ST,WALLACE ST,FAIR,1523.8,0.047,0.5,0,0.5,90.4918385378524,0.5,0,1,1.0,0.402
14TH AV,LAUREL ST,WILLOW ST,VERY GOOD,129.1,0.772,0.1,0,0.1,91.49515596070944,0.5,0,1,1.0,0.441
FREMLIN ST,52ND AV,49TH AV,GOOD,1127.2,0.105,0.3,0,0.3,1.342919376793077,0.8,0,1,1.0,0.45
GLEN DR,SOUTH END,TERMINAL AV WB ACCESS,VERY GOOD,759.7,0.219,0.1,0,0.1,359.18462058903475,0.8,1,1,1.0,0.732
FRASER ST,12TH AV,11TH AV,GOOD,1380.2,0.063,0.3,0,0.3,0.6692960719797725,0.8,0,1,1.0,0.444
HUDSON ST,DEVONSHIRE CRESCENT,NANTON AV,FAIR,525.5,0.35,0.5,0,0.5,3.747309557395795,0.8,0,1,1.0,0.523
KING EDWARD AV,CYPRESS ST,PINE CRESCENT,FAIR,1247.0,0.083,0.5,0,0.5,98.08969051355768,0.5,0,1,1.0,0.407
DRUMMOND DR,SOUTH END,4TH AV,POOR,782.9,0.209,0.8,0,0.8,354.27737613614204,0.8,0,1,1.0,0.554
HEATLEY AV,POWELL ST,ALEXANDER ST,VERY POOR,807.7,0.199,0.95,0,0.95,1.7069856543744777,0.8,0,1,1.0,0.579
MANITOBA ST,4TH AV,3RD AV,VERY GOOD,191.1,0.682,0.1,0,0.1,1.6097653628702915,0.8,0,1,1.0,0.502
FRENCH ST,64TH AV,62ND AV,POOR,1062.1,0.12,0.8,0,0.8,0.6623436396471334,0.8,0,1,1.0,0.541
MATHESON CRES,CHAMPLAIN CRESCENT,RUMBLE AV,VERY GOOD,408.2,0.442,0.1,0,0.1,14.581966108646782,0.8,0,1,1.0,0.466
LAGOON DR,BARCLAY ST,CHILCO ST / ROBSON ST,VERY POOR,84.0,0.845,0.95,0,0.95,79.18014206213752,0.5,0,1,1.0,0.602
MAIN ST,17TH AV,16TH AV,POOR,1431.5,0.057,0.8,0,0.8,1.6849611660418873,0.8,0,1,1.0,0.531
KEEFER ST,GORE AV,JACKSON AV,GOOD,406.0,0.444,0.3,0,0.3,91.7330917486558,0.5,0,1,1.0,0.426
GARDEN DR,1ST AV,GRAVELEY ST,POOR,896.4,0.166,0.8,0,0.8,0.7807218856798386,0.8,0,1,1.0,0.548
GRANDVIEW HWY N,COMMERCIAL DRIVE,BROADWAY,POOR,617.2,0.291,0.8,0,0.8,126.06993630719847,0.5,1,1,1.0,0.792
KASLO ST,OXFORD ST,CAMBRIDGE ST,POOR,478.9,0.384,0.8,0,0.8,0.050170942643603667,0.8,0,1,1.0,0.581
HARWOOD ST,BROUGHTON ST,JERVIS ST,VERY GOOD,493.4,0.373,0.1,0,0.1,133.55421422220513,0.5,0,1,1.0,0.38
MACDONALD ST,50TH AV,49TH AV,GOOD,259.7,0.595,0.3,0,0.3,20.755205400765306,0.8,0,1,1.0,0.524
CYPRESS ST,10TH AV,BROADWAY,FAIR,971.1,0.143,0.5,0,0.5,1.4326595988702593,0.8,0,1,1.0,0.491
KAMLOOPS ST,DUNDAS ST,OXFORD ST,VERY GOOD,979.0,0.141,0.1,0,0.1,0.1103370038522371,0.8,0,1,1.0,0.421
DUNBAR ST,5TH AV,4TH AV,FAIR,716.7,0.238,0.5,0,0.5,2.047752800593173,0.8,0,1,1.0,0.506
DUNBAR ST,15TH AV,14TH AV,VERY POOR,1337.5,0.069,0.95,0,0.95,359.64802899269756,0.8,0,1,1.0,0.56
MAIN ST TO DUNSMUIR VIADUCT WB RAMP,MAIN ST,DUNSMUIR ST VIADUCT,GOOD,203.7,0.665,0.3,0,0.3,266.99168368654375,0.5,0,1,1.0,0.46
INVERNESS ST,22ND AV,21ST AV,GOOD,1292.0,0.075,0.3,0,0.3,1.467887546545228,0.8,0,1,1.0,0.446
HIGHBURY ST,12TH AV,11TH AV,GOOD,934.3,0.154,0.3,0,0.3,1.4616455687310577,0.8,0,1,1.0,0.458
JOYCE ST,43RD AV,MARMION AV,GOOD,1169.5,0.096,0.3,0,0.3,0.6232008868620369,0.8,0,1,1.0,0.449
GORE AV,UNION ST,GEORGIA ST,FAIR,433.2,0.42,0.5,0,0.5,354.885131600016,0.8,0,1,1.0,0.533
HIGHBURY ST,38TH AV,37TH AV,GOOD,1223.6,0.087,0.3,0,0.3,0.2890609816843721,0.8,0,1,1.0,0.448
MAPLE CRES,CYPRESS ST,CYPRESS CRESCENT,VERY POOR,1094.5,0.112,0.95,0,0.95,334.09658203988755,0.8,0,1,1.0,0.566
KERR ST,58TH AV,56TH AV,VERY GOOD,543.3,0.337,0.1,0,0.1,1.8080271137986301,0.8,0,1,1.0,0.45
HEATHER ST,17TH AV,16TH AV,VERY GOOD,349.3,0.497,0.1,0,0.1,1.509539942331969,0.8,0,1,1.0,0.474
MACDONALD ST,6TH AV,5TH AV,VERY GOOD,1829.5,0.026,0.1,0,0.1,1.4668077870452407,0.8,0,1,1.0,0.403
DUNDAS ST,LAKEWOOD DRIVE,TEMPLETON DRIVE,FAIR,1332.6,0.07,0.5,0,0.5,90.51692601555726,0.5,0,1,1.0,0.405
MACDONALD ST,53RD AV,SW MARINE DRIVE,VERY POOR,64.5,0.879,0.95,0,0.95,359.49590004678225,0.8,0,1,1.0,0.682
KINROSS ST,KENT AV NORTH,62ND AV,VERY GOOD,217.6,0.647,0.1,0,0.1,1.055842519716748,0.8,0,1,1.0,0.497
FREMLIN ST,54TH AV,52ND AV,FAIR,1099.7,0.111,0.5,0,0.5,1.3427155685170646,0.8,0,1,1.0,0.487
MACDONALD ST,13TH AV,12TH AV,VERY GOOD,2060.1,0.016,0.1,0,0.1,1.4941580339821598,0.8,0,1,1.0,0.402
HORNBY ST,NELSON ST,SMITHE ST,VERY GOOD,82.6,0.848,0.1,0,0.1,44.780707689162796,0.8,0,1,1.0,0.527
FIR ST,BROADWAY,8TH AV,FAIR,636.6,0.28,0.5,0,0.5,1.5763445109856775,0.8,0,1,1.0,0.512
HEATHER ST,KING EDWARD AV,23RD AV,VERY POOR,656.8,0.269,0.95,0,0.95,1.3829609891402583,0.8,0,1,1.0,0.59
HOMER ST,HASTINGS ST,CORDOVA ST,POOR,406.7,0.443,0.8,0,0.8,44.763841768666055,0.8,0,1,1.0,0.59
MARGUERITE ST,33RD AV,32ND AV,VERY POOR,585.3,0.31,0.95,0,0.95,10.627732276643485,0.8,0,1,1.0,0.596
DUNBAR ST,51ST AV,50TH AV,VERY GOOD,192.1,0.681,0.1,0,0.1,0.7452262021325282,0.8,0,1,1.0,0.502
JOHN ST,30TH AV,29TH AV,GOOD,737.2,0.229,0.3,0,0.3,1.5310537342998032,0.8,0,1,1.0,0.469
GARDEN DR,6TH AV,5TH AV,POOR,420.5,0.431,0.8,0,0.8,0.7045234191270993,0.8,0,1,1.0,0.588
DONCASTER WAY,KEVIN PLACE,EAST END,GOOD,2386.9,0.008,0.3,0,0.3,84.92466129755661,0.5,0,1,1.0,0.361
CULLODEN ST,39TH AV,37TH AV,FAIR,2006.6,0.018,0.5,0,0.5,1.40952939476324,0.8,0,1,1.0,0.473
MANITOBA ST,43RD AV,42ND AV,FAIR,650.7,0.272,0.5,0,0.5,1.6476676604187332,0.8,0,1,1.0,0.511
DEVONSHIRE CRES,OSLER ST,OAK ST,VERY POOR,458.7,0.4,0.95,0,0.95,91.46962173528084,0.5,0,1,1.0,0.534
DUMFRIES ST,30TH AV,28TH AV,VERY POOR,1294.1,0.075,0.95,0,0.95,1.3767985775967873,0.8,0,1,1.0,0.561
JACKSON AV,GEORGIA ST,KEEFER ST,VERY GOOD,451.8,0.405,0.1,0,0.1,1.5592705900110104,0.8,0,1,1.0,0.46
FRASER ST,21ST AV,20TH AV,GOOD,1790.5,0.028,0.3,0,0.3,1.4778800805991068,0.8,0,1,1.0,0.439
FRASER ST,SOUTH END,KENT AV NORTH,POOR,23.4,0.954,0.8,0,0.8,1.198078950986769,0.8,0,1,1.0,0.667
DUNDEE ST,40TH AV,KINGSWAY / MOSS ST,FAIR,227.1,0.635,0.5,0,0.5,357.25726354104825,0.8,0,1,1.0,0.566
ELLIOTT ST,53RD AV,51ST AV,GOOD,940.0,0.153,0.3,0,0.3,1.3069047437208496,0.8,0,1,1.0,0.458
GRANVILLE ST,GEORGIA ST,DUNSMUIR ST,NO DATA,263.4,0.591,0.5,1,0.4,44.78822774763648,0.8,0,1,1.0,0.541
LILLOOET ST,1ST AV,GRAVELEY ST,VERY GOOD,614.8,0.292,0.1,0,0.1,0.5872128850414242,0.8,0,1,1.0,0.443
CYPRESS ST,16TH AV,15TH AV,VERY GOOD,1353.7,0.067,0.1,0,0.1,1.3461409605566814,0.8,0,1,1.0,0.409
LAKEWOOD DR,HASTINGS ST,FRANKLIN ST,VERY GOOD,1426.2,0.058,0.1,0,0.1,0.3153545837027423,0.8,0,1,1.0,0.408
LANARK ST,45TH AV,43RD AV,POOR,1977.2,0.019,0.8,0,0.8,1.4069595606965208,0.8,0,1,1.0,0.526
MATHESON CRES,SE MARINE DRIVE,CHAMPLAIN CRESCENT,VERY GOOD,293.5,0.556,0.1,0,0.1,43.97839256608546,0.8,0,1,1.0,0.483
HAGGART ST,EDGAR CRESCENT,MCMULLEN AV,VERY POOR,1891.4,0.023,0.95,0,0.95,325.9952213286748,0.8,0,1,1.0,0.553
DUNSMUIR ST,GORE AV / PRIOR ST,MAIN ST TO DUNSMUIR VIADUCT WB RAMP,VERY GOOD,203.4,0.666,0.1,0,0.1,278.94931003379736,0.5,0,1,1.0,0.425
KAMLOOPS ST,12TH AV,11TH AV,VERY POOR,153.2,0.736,0.95,0,0.95,359.9722887044183,0.8,0,1,1.0,0.66
DUNBAR ST,48TH AV,47TH AV,POOR,392.3,0.456,0.8,0,0.8,0.7472485372672395,0.8,0,1,1.0,0.592
LAKEWOOD DR,SOUTH END,12TH AV / GRANDVIEW HWY,GOOD,95.2,0.827,0.3,0,0.3,0.7695968808948805,0.8,0,1,1.0,0.559
GRANT ST,WOODLAND DRIVE,COTTON DRIVE,FAIR,1118.4,0.107,0.5,0,0.5,90.77339106475807,0.5,0,1,1.0,0.411
LARCH ST,1ST AV,YORK AV,GOOD,1348.9,0.067,0.3,0,0.3,1.3328927014847523,0.8,0,1,1.0,0.445
GLEN DR,KEEFER ST,PENDER ST,VERY POOR,610.7,0.295,0.95,0,0.95,1.0892587008518149,0.8,0,1,1.0,0.594
EAST BLVD,68TH AV,66TH AV,FAIR,559.4,0.327,0.5,0,0.5,341.96654178039296,0.8,0,1,1.0,0.519
ISLAND PARK WALK,1ST AV,EAST END,NO DATA,19.8,0.961,0.5,1,0.4,108.54422801343514,0.5,0,1,1.0,0.522
KILLARNEY ST,43RD AV,42ND AV,FAIR,704.4,0.244,0.5,0,0.5,0.4119127764197401,0.8,0,1,1.0,0.507
MACKENZIE PL,49TH AV,NORTH END,POOR,342.8,0.504,0.8,0,0.8,2.5259427625641706,0.8,0,1,1.0,0.599
MAIN ST,55TH AV,54TH AV,POOR,588.4,0.308,0.8,0,0.8,1.4246371576221009,0.8,0,1,1.0,0.569
KASLO ST,6TH AV,5TH AV,VERY POOR,700.3,0.246,0.95,0,0.95,0.454162470696474,0.8,0,1,1.0,0.586
FLEMING ST,47TH AV,45TH AV,POOR,1883.6,0.023,0.8,0,0.8,1.4789424045281976,0.8,0,1,1.0,0.526
MANITOBA ST,KENT AV NORTH,71ST AV,VERY POOR,183.2,0.693,0.95,0,0.95,1.8712300060578286,0.8,0,1,1.0,0.654
GLADSTONE ST,UPLAND DRIVE,55TH AV,VERY GOOD,1096.1,0.112,0.1,0,0.1,1.4087592175810641,0.8,0,1,1.0,0.416
KENT AV N,PRINCE EDWARD ST,ST. GEORGE ST,VERY POOR,236.9,0.623,0.95,0,0.95,82.74820809147951,0.5,0,1,1.0,0.568
CROWN ST,41ST AV,40TH AV,VERY POOR,1247.3,0.083,0.95,0,0.95,0.5282627442561534,0.8,0,1,1.0,0.562
MAIN ST,18TH AV,17TH AV,POOR,1411.6,0.059,0.8,0,0.8,347.78460854862067,0.8,0,1,1.0,0.532
LAUREL ST,59TH AV,58TH AV,FAIR,969.5,0.144,0.5,0,0.5,1.045276509428561,0.8,0,1,1.0,0.492
INVERNESS ST,18TH AV,17TH AV,VERY POOR,1192.6,0.092,0.95,0,0.95,1.4587630528209274,0.8,0,1,1.0,0.563
GARDEN DR,11TH AV,10TH AV,VERY POOR,196.8,0.675,0.95,0,0.95,0.7619429359618834,0.8,0,1,1.0,0.651
KOOTENAY ST,GRAVELEY ST,NORTH END,VERY POOR,30.0,0.942,0.95,0,0.95,349.35218749286764,0.8,0,1,1.0,0.691
MAPLE ST,37TH AV,36TH AV,GOOD,1075.7,0.116,0.3,0,0.3,1.4816327303984735,0.8,0,1,1.0,0.452
FLEMING ST,20TH AV,18TH AV,VERY POOR,620.5,0.289,0.95,0,0.95,1.3596690745133628,0.8,0,1,1.0,0.593
HELMCKEN ST,RICHARDS ST,HOMER ST,VERY POOR,289.3,0.561,0.95,0,0.95,134.74987423346363,0.5,0,1,1.0,0.559
MACDONALD ST,30TH AV,29TH AV / QUESNEL DRIVE,NO DATA,2109.9,0.015,0.5,1,0.4,1.0447553651888484,0.8,0,1,1.0,0.454
HIGHBURY ST,26TH AV,KING EDWARD AV,NO DATA,2272.2,0.011,0.5,1,0.4,0.44374930289302483,0.8,0,1,1.0,0.454
KASLO ST,DUNDAS ST,OXFORD ST,VERY GOOD,477.0,0.385,0.1,0,0.1,0.13495737351070147,0.8,0,1,1.0,0.457
GARDEN DR,7TH AV,6TH AV,FAIR,334.0,0.513,0.5,0,0.5,0.7250677692586578,0.8,0,1,1.0,0.547
GORE AV,ALEXANDER ST,RAILWAY ST,VERY POOR,602.4,0.3,0.95,0,0.95,354.8616140963737,0.8,0,1,1.0,0.594
MACDONALD ST,4TH AV,3RD AV,VERY GOOD,1810.8,0.027,0.1,0,0.1,1.420160931235614,0.8,0,1,1.0,0.403
HUDSON ST,76TH AV,75TH AV,VERY GOOD,92.4,0.831,0.1,0,0.1,11.511189470170564,0.8,1,1,1.0,0.825
HAROLD ST,MARMION AV,SCHOOL AV,POOR,1206.8,0.089,0.8,0,0.8,359.63122769721286,0.8,0,1,1.0,0.536
LILLOOET ST,GRANT ST,KITCHENER ST,GOOD,596.1,0.304,0.3,0,0.3,0.6416127428229856,0.8,0,1,1.0,0.48
GLADSTONE ST,MANNERING AV,32ND AV,GOOD,946.0,0.151,0.3,0,0.3,1.2963519520335467,0.8,0,1,1.0,0.457
GRANT ST,NOOTKA ST,LILLOOET ST,POOR,597.7,0.303,0.8,0,0.8,90.12751424524151,0.5,0,1,1.0,0.493
KING EDWARD AV,HIGHBURY ST,DUNBAR ST,NO DATA,2272.4,0.011,0.5,1,0.4,90.49587288014385,0.5,0,1,1.0,0.379
CORDOVA ST,HEATLEY AV,HAWKS AV,VERY POOR,705.2,0.244,0.95,0,0.95,91.74595179344954,0.5,0,1,1.0,0.511
LABURNUM ST,41ST AV,39TH AV,VERY POOR,996.4,0.136,0.95,0,0.95,1.5182163860626474,0.8,0,1,1.0,0.57
HOMER ST,ROBSON ST,GEORGIA ST,FAIR,108.6,0.805,0.5,0,0.5,44.560403161947534,0.8,0,1,1.0,0.591
HIGHBURY ST,36TH AV,35TH AV,GOOD,1417.6,0.059,0.3,0,0.3,0.6681998138242307,0.8,0,1,1.0,0.443
MACDONALD ST,ALAMEIN AV,24TH AV,POOR,2510.8,0.007,0.8,0,0.8,0.9025918632431171,0.8,0,1,1.0,0.524
KENT AV S,OAK ST,SHAUGHNESSY ST,FAIR,257.6,0.597,0.5,0,0.5,70.65264851823713,0.5,1,1,1.0,0.785
LAKEWOOD DR,3RD AV,2ND AV,GOOD,824.7,0.192,0.3,0,0.3,0.763485206457176,0.8,0,1,1.0,0.463
GRANT ST,CLARK DRIVE,ODLUM DRIVE,POOR,863.5,0.178,0.8,0,0.8,90.46003264902981,0.5,0,1,1.0,0.475
EXPO BLVD,ABBOTT ST,DUNSMUIR ST 1,FAIR,122.9,0.782,0.5,0,0.5,271.8020964925073,0.5,1,1,1.0,0.813
DUNBAR ST,33RD AV,32ND AV,GOOD,1647.7,0.037,0.3,0,0.3,0.6179969763709323,0.8,0,1,1.0,0.44
CROWN ST,21ST AV,20TH AV,VERY GOOD,1724.7,0.032,0.1,0,0.1,0.5132292896875015,0.8,0,1,1.0,0.404
KING EDWARD AV,CROWN ST,WALLACE ST,VERY POOR,2237.9,0.011,0.95,0,0.95,90.45776930999068,0.5,0,1,1.0,0.476
DUMFRIES ST,57TH AV,55TH AV,VERY POOR,1028.0,0.128,0.95,0,0.95,0.6811195977975331,0.8,0,1,1.0,0.569
KOOTENAY ST,NAPIER ST,NORTH END,VERY GOOD,177.7,0.701,0.1,0,0.1,0.34514662088008663,0.8,0,1,1.0,0.505
MANOR ST,QUEENS AV,WELLINGTON AV,VERY POOR,644.1,0.276,0.95,0,0.95,32.06071595294287,0.8,0,1,1.0,0.591
GLADSTONE ST,48TH AV,WAVERLEY AV,VERY POOR,1432.9,0.057,0.95,0,0.95,0.7688621585365922,0.8,0,1,1.0,0.558
HIGHBURY ST,4TH AV,3RD AV,FAIR,411.3,0.439,0.5,0,0.5,1.6394034713831616,0.8,0,1,1.0,0.536
KASLO ST,19TH AV,18TH AV,POOR,653.4,0.271,0.8,0,0.8,0.5082142949127046,0.8,0,1,1.0,0.564
KITCHENER ST,PENTICTON ST,SLOCAN ST,VERY POOR,1148.9,0.1,0.95,0,0.95,90.10310240119418,0.5,0,1,1.0,0.489
MARSHALL ST,20TH AV,19TH AV,FAIR,147.8,0.744,0.5,0,0.5,23.13641764767192,0.8,0,1,1.0,0.582
HUDSON ST,75TH AV,SW MARINE DRIVE,FAIR,198.5,0.672,0.5,0,0.5,5.757252723989325,0.8,1,1,1.0,0.871
KERR ST,KENT AV NORTH,SE MARINE DRIVE,GOOD,177.4,0.701,0.3,0,0.3,0.055695096576471315,0.8,0,1,1.0,0.54
CYPRESS ST,41ST AV,39TH AV,VERY POOR,899.0,0.166,0.95,0,0.95,1.503576870826123,0.8,0,1,1.0,0.574
FRASER ST,6TH AV,5TH AV,FAIR,1021.2,0.13,0.5,0,0.5,0.6471677842791905,0.8,0,1,1.0,0.489
FIR ST,5TH AV,4TH AV,VERY GOOD,293.1,0.556,0.1,0,0.1,1.4757373168044978,0.8,0,1,1.0,0.483
FRANKLIN ST,PENTICTON ST,SLOCAN ST,GOOD,531.3,0.346,0.3,0,0.3,90.15127858374149,0.5,0,1,1.0,0.412
HEBB AV,NOOTKA ST,LILLOOET ST,GOOD,55.2,0.895,0.3,0,0.3,78.76712001484316,0.5,0,1,1.0,0.495
MANNERING AV,GLADSTONE ST,NANAIMO ST,GOOD,671.8,0.261,0.3,0,0.3,90.53652173488939,0.5,0,1,1.0,0.399
KERSLAND DR,37TH AV,35TH AV,FAIR,229.9,0.631,0.5,0,0.5,346.14133266822193,0.8,0,1,1.0,0.565
GUELPH ST,10TH AV,BROADWAY,GOOD,955.8,0.148,0.3,0,0.3,0.7056745598450789,0.8,0,1,1.0,0.457
MANITOBA ST,KING EDWARD AV,23RD AV,GOOD,613.0,0.293,0.3,0,0.3,1.705166614660186,0.8,0,1,1.0,0.479
KENT AV N,CAMBIE ST,YUKON ST,FAIR,157.8,0.729,0.5,0,0.5,74.33790230439212,0.5,0,1,1.0,0.505
LABURNUM ST,52ND AV,50TH AV,GOOD,975.5,0.142,0.3,0,0.3,1.221111522974752,0.8,0,1,1.0,0.456
CYPRESS ST,13TH AV,12TH AV,GOOD,1221.3,0.087,0.3,0,0.3,1.5461810615893796,0.8,0,1,1.0,0.448
